M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,2.24072,0.89546466,1.0231142,0.07942745,-1.5883865,1.7611573,0.0,-1.0301297
0.0,1.8791636,-0.8838303,-0.1262282,0.2685795,0.96149164,2.388794,0.0,0.082755744
0.0,2.2645977,0.8774327,0.90677875,0.7003534,-1.5480045,1.8426038,0.0,-0.6591226
0.0,-1.0669339,-0.6882315,-0.55774695,0.56746435,-1.4929155,-0.8860347,0.0,-0.20057973
0.0,1.4657488,0.48477343,-0.7196204,0.59153396,1.4318159,1.8485079,0.0,1.2167934
0.0,0.9495903,0.8795352,-0.89705056,1.1693738,1.4202294,-1.4191992,0.0,2.1016665
0.0,-1.1179146,0.6250186,-0.94244987,-1.4080136,-1.1392388,-1.5207493,0.0,1.5997388
0.0,-1.2097746,0.5251694,-1.1604698,0.12015203,-2.0662556,-1.3085968,0.0,2.0035477
0.0,-0.97998184,-1.1903995,-0.35431254,0.50148267,1.4177825,-1.5725139,0.0,-2.0995085
0.0,-0.9800308,-0.71961164,-0.8915523,1.336483,0.623086,-1.6996162,0.0,-0.69190633
0.0,0.30655652,0.7700528,0.059040703,0.6893658,-1.9888599,1.7459785,0.0,1.8416617
0.0,-0.9643825,-0.874888,-0.37289995,-1.3745047,0.49520966,-1.6587933,0.0,-1.7082151
0.0,-0.9808112,0.6199173,-1.0822681,0.4598993,-2.0077484,-1.5894065,0.0,1.2991849
0.0,2.2096245,0.9363923,1.0653694,-0.18961133,0.84592164,-0.21994214,0.0,-1.152107
0.0,-0.45073968,-1.0663471,-0.98286897,-0.6387665,0.6019584,-1.3549393,0.0,-1.8354865
0.0,-1.093596,0.7201266,0.99492776,1.3795009,1.388904,-0.80781865,0.0,2.165988
0.0,-1.1088767,0.5944787,-1.0602167,-1.4813533,-1.8726555,-1.1304544,0.0,1.8461304
0.0,-0.8673752,0.6286782,-0.98739713,1.09258,1.565712,1.2018495,0.0,1.9419398
