player_id,player_name,obpi_mean,obpi_median,obpi_matches,obpi_team_names,fifa_player_id,fifa_short_name,fifa_long_name,fifa_positions,fifa_club_name,fifa_league_name,fifa_nationality_name,fifa_version,fifa_update,fifa_update_date,fifa_overall,fifa_potential,fifa_pace,fifa_shooting,fifa_passing,fifa_dribbling,fifa_defending,fifa_physic,fifa_vision,fifa_reactions,match_type,match_confidence
22084,Bukayo Saka,0.6136834573243942,0.6136834573243942,1,England,246669,B. Saka,Bukayo Saka,"RM, RW",Arsenal,Premier League,England,23,9,2023-01-13,83,90,85.0,74.0,78.0,84.0,65.0,65.0,82,82,exact_name,1.0
24723,Edon Zhegrova,0.6131987488328171,0.6131987488328171,1,Lille,239763,E. Zhegrova,Edon Zhegrova,RM,Lille,Ligue 1,Kosovo,23,9,2023-01-13,74,81,79.0,67.0,68.0,78.0,25.0,60.0,70,70,exact_name,1.0
114833,Noah Mbamba,0.6117215016732532,0.6117215016732532,1,Bayer Leverkusen,261360,N. Mbamba,Noah Mbamba,"CB, CDM",Club Brugge,Jupiler Pro League,Belgium,23,9,2023-01-13,64,84,72.0,33.0,54.0,65.0,61.0,71.0,59,53,exact_name,1.0
6319,Luka Jović,0.611111111111111,0.611111111111111,1,Serbia,232432,L. Jović,Luka Jović,ST,Fiorentina,Serie A,Serbia,23,9,2023-01-13,79,83,74.0,78.0,68.0,78.0,29.0,73.0,70,80,exact_name,1.0
23650,Jeremy Doku,0.6075860996339808,0.5699433905637443,3,Belgium,246420,J. Doku,Jérémy Doku,"RW, RM",Rennes,Ligue 1,Belgium,23,9,2023-01-13,75,85,91.0,65.0,66.0,80.0,25.0,64.0,71,70,exact_name,1.0
39143,Matěj Jurásek,0.6075191628769516,0.6075191628769516,1,Czech Republic,271296,M. Jurásek,Matěj Jurásek,"LM, RM",Slavia Praha,Fortuna Liga,Czech Republic,23,9,2023-01-13,66,79,77.0,66.0,59.0,68.0,24.0,56.0,60,60,exact_name,1.0
4308,Houssem Aouar,0.6051751254772736,0.6051751254772736,1,Lyon,234906,H. Aouar,Houssem Aouar,"CAM, LM, CM",Olympique Lyonnais,Ligue 1,France,23,9,2023-01-13,78,83,71.0,69.0,77.0,83.0,64.0,68.0,82,76,exact_name,1.0
5630,Dries Mertens,0.5983113568838213,0.6373136701390064,5,Belgium,175943,D. Mertens,Dries Mertens,"CAM, CF",Galatasaray,Super Lig,Belgium,23,9,2023-01-13,84,84,79.0,80.0,80.0,86.0,39.0,48.0,83,80,exact_name,1.0
5660,Piotr Zieliński,0.5982153645321836,0.5982153645321836,1,Poland,210406,P. Zieliński,Piotr Sebastian Zieliński,"CAM, CM",Napoli,Serie A,Poland,23,9,2023-01-13,83,83,81.0,77.0,81.0,86.0,70.0,62.0,84,81,token_containment,0.94
5470,Ivan Rakitić,0.5961366808036778,0.5961366808036778,1,Sevilla,168651,I. Rakitić,Ivan Rakitić,CM,Sevilla,La Liga,Croatia,23,9,2023-01-13,82,82,53.0,79.0,85.0,78.0,75.0,68.0,85,80,exact_name,1.0
5732,Andreas Evald Cornelius,0.5909467968144664,0.5909467968144664,2,Denmark,201943,A. Cornelius,Andreas Evald Cornelius,ST,København,Superliga,Denmark,23,9,2023-01-13,75,75,67.0,75.0,61.0,64.0,36.0,81.0,69,75,exact_name,1.0
5632,Thorgan Hazard,0.5869321256575466,0.5869321256575466,1,Belgium,203486,T. Hazard,Thorgan Ganael Francis Hazard,"LM, CF",Borussia Dortmund,Bundesliga,Belgium,23,9,2023-01-13,78,78,68.0,74.0,78.0,83.0,53.0,64.0,77,78,token_containment,0.94
16459,Cyle Larin,0.5829364043352067,0.5829364043352067,1,Canada,226777,C. Larin,Cyle Christopher Larin,ST,Club Brugge,Jupiler Pro League,Canada,23,9,2023-01-13,72,73,72.0,71.0,64.0,67.0,27.0,77.0,67,72,token_containment,0.94
22041,Marko Livaja,0.5815786646127825,0.5815786646127825,1,Croatia,205855,M. Livaja,Marko Livaja,"CF, ST, LW",Hajduk Split,1. HNL,Croatia,23,9,2023-01-13,77,77,78.0,78.0,70.0,78.0,38.0,82.0,77,75,exact_name,1.0
24144,Ángel Montoro Sánchez,0.5785922094764789,0.5785922094764789,1,Granada,186682,Montoro,Ángel Montoro Sánchez,"CM, CDM, CAM",Real Oviedo,La Liga 2,Spain,23,9,2023-01-13,75,75,37.0,68.0,72.0,70.0,74.0,67.0,76,78,exact_name,1.0
7015,Dennis Praet,0.5778883186221949,0.5778883186221949,1,Belgium,199652,D. Praet,Dennis Praet,"CAM, CF, CM",Leicester City,Premier League,Belgium,23,9,2023-01-13,78,78,66.0,72.0,78.0,79.0,63.0,65.0,79,77,exact_name,1.0
29227,Leonidas Stergiou,0.5712775103398896,0.5712775103398896,1,Switzerland,247360,L. Stergiou,Leonidas Stergiou,CB,St. Gallen,Super League,Switzerland,23,9,2023-01-13,67,84,79.0,32.0,46.0,50.0,67.0,71.0,41,70,exact_name,1.0
6324,Leon Goretzka,0.5705032195674963,0.5705032195674963,1,Germany,209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",FC Bayern München,Bundesliga,Germany,23,9,2023-01-13,87,88,78.0,82.0,82.0,83.0,81.0,86.0,84,87,token_containment,0.94
8546,Niclas Füllkrug,0.5696018873056282,0.5696018873056282,2,Germany,205431,N. Füllkrug,Niclas Füllkrug,ST,Werder Bremen,Bundesliga,Germany,23,9,2023-01-13,78,78,61.0,80.0,65.0,72.0,36.0,76.0,65,79,exact_name,1.0
24024,Tajon Buchanan,0.5656573883326318,0.5656573883326318,1,Canada,246800,T. Buchanan,Tajon Buchanan,"RM, LM",Club Brugge,Jupiler Pro League,Canada,23,9,2023-01-13,73,79,92.0,62.0,61.0,76.0,56.0,68.0,67,70,exact_name,1.0
17042,Andreas Skov Olsen,0.5637382011763479,0.5637382011763479,2,Denmark,240017,A. Skov Olsen,Andreas Skov Olsen,"RM, CAM, RW",Club Brugge,Jupiler Pro League,Denmark,23,9,2023-01-13,76,83,86.0,75.0,72.0,77.0,39.0,68.0,68,66,exact_name,1.0
33401,Amine Adli,0.5628329905194158,0.5166173278876033,13,Bayer Leverkusen,255223,A. Adli,Amine Adli,"ST, LM",Bayer 04 Leverkusen,Bundesliga,France,23,9,2023-01-13,74,83,86.0,72.0,67.0,80.0,40.0,54.0,68,69,exact_name,1.0
5633,Yannick Ferreira Carrasco,0.5623105471429629,0.4976328993930571,3,Belgium,208418,Y. Carrasco,Yannick Ferreira Carrasco,"LM, LWB",Atlético Madrid,La Liga,Belgium,23,9,2023-01-13,84,84,88.0,81.0,79.0,86.0,54.0,66.0,80,79,exact_name,1.0
3053,Leroy Sané,0.5618476983524218,0.5986772486772487,3,Bayern Munich; Germany,222492,L. Sané,Leroy Aziz Sané,"LM, RM, CF",FC Bayern München,Bundesliga,Germany,23,9,2023-01-13,84,84,90.0,81.0,80.0,85.0,38.0,66.0,81,82,token_containment,0.94
21209,Dominik Szoboszlai,0.5597745658668886,0.609009889699729,3,Hungary,236772,D. Szoboszlai,Dominik Szoboszlai,"CAM, LM",RB Leipzig,Bundesliga,Hungary,23,9,2023-01-13,81,87,80.0,81.0,82.0,81.0,34.0,63.0,82,76,exact_name,1.0
7843,Mason Mount,0.5570670998190111,0.5968149844520813,6,England,233064,M. Mount,Mason Mount,"CAM, RW, CM",Chelsea,Premier League,England,23,9,2023-01-13,83,86,74.0,81.0,84.0,82.0,55.0,67.0,82,85,exact_name,1.0
6987,Mauro Emanuel Icardi Rivero,0.5555555555555557,0.5555555555555557,1,Paris Saint-Germain,201399,M. Icardi,Mauro Emanuel Icardi Rivero,ST,Galatasaray,Super Lig,Argentina,23,9,2023-01-13,78,78,67.0,79.0,64.0,72.0,35.0,68.0,72,76,exact_name,1.0
92611,Ernest Muçi,0.5555555555555557,0.5555555555555557,1,Albania,261195,E. Muçi,Ernest Muçi,"ST, CAM, CF",Legia Warszawa,Ekstraklasa,Albania,23,9,2023-01-13,65,76,79.0,67.0,59.0,68.0,20.0,57.0,64,64,exact_name,1.0
4894,Zaydou Youssouf,0.5555555555555555,0.5555555555555555,1,Saint-Étienne,236830,Z. Youssouf,Zaydou Youssouf,"CM, CDM, RM",Famalicão,Liga Portugal,France,23,9,2023-01-13,72,78,64.0,58.0,70.0,76.0,64.0,73.0,71,67,exact_name,1.0
5665,Arkadiusz Milik,0.5525866074208273,0.5525866074208273,1,Poland,205175,A. Milik,Arkadiusz Krystian Milik,ST,Juventus,Serie A,Poland,23,9,2023-01-13,80,80,61.0,83.0,72.0,76.0,40.0,73.0,76,76,token_containment,0.94
30401,Ruben Vargas,0.5510927735871937,0.5612247522223365,7,Augsburg; Switzerland,238581,R. Vargas,Rubén Estephan Vargas Martínez,"LM, RM",FC Augsburg,Bundesliga,Switzerland,23,9,2023-01-13,75,81,89.0,69.0,67.0,79.0,54.0,64.0,64,72,token_containment,0.94
3436,Idrissa Gana Gueye,0.5509504707448848,0.5509504707448848,2,Senegal,193474,I. Gueye,Idrissa Gana Gueye,"CDM, CM",Everton,Premier League,Senegal,23,9,2023-01-13,82,82,67.0,66.0,71.0,78.0,83.0,76.0,70,81,exact_name,1.0
38004,Piero Martín Hincapié Reyna,0.5503041255083004,0.5503041255083004,1,Bayer Leverkusen,256197,P. Hincapié,Piero Martín Hincapié Reyna,"LB, CB",Bayer 04 Leverkusen,Bundesliga,Ecuador,23,9,2023-01-13,78,85,83.0,39.0,64.0,71.0,78.0,75.0,53,74,exact_name,1.0
7044,Patrik Schick,0.5486186273717638,0.5486186273717638,1,Bayer Leverkusen,234236,P. Schick,Patrik Schick,ST,Bayer 04 Leverkusen,Bundesliga,Czech Republic,23,9,2023-01-13,84,86,78.0,82.0,71.0,83.0,36.0,76.0,74,82,exact_name,1.0
2954,Youri Tielemans,0.5480053547523428,0.5480053547523428,1,Belgium,216393,Y. Tielemans,Youri Tielemans,"CM, CDM",Leicester City,Premier League,Belgium,23,9,2023-01-13,84,86,56.0,80.0,86.0,79.0,70.0,73.0,86,83,exact_name,1.0
23454,Petr Ševčík,0.5463336023193295,0.5463336023193295,2,Czech Republic,247030,P. Ševčík,Petr Ševčík,"CM, RM, CDM",Slavia Praha,Fortuna Liga,Czech Republic,23,9,2023-01-13,76,76,74.0,71.0,77.0,78.0,69.0,73.0,79,72,exact_name,1.0
5562,Thomas Müller,0.5452222564615689,0.5795241050427142,5,Bayern Munich; Germany,189596,T. Müller,Thomas Müller,"CAM, CF",FC Bayern München,Bundesliga,Germany,23,9,2023-01-13,86,86,67.0,83.0,83.0,80.0,55.0,70.0,86,94,exact_name,1.0
20611,Boulaye Dia,0.5438075763963475,0.5438075763963475,1,Senegal,246242,B. Dia,Boulaye Dia,"ST, RW",Salernitana,Serie A,Senegal,23,9,2023-01-13,79,82,83.0,78.0,62.0,76.0,27.0,76.0,65,76,exact_name,1.0
50436,Fabian Rieder,0.5400954909567668,0.5541562144602112,4,Switzerland,259306,F. Rieder,Fabian Rieder,"CAM, CM",Young Boys,Super League,Switzerland,23,9,2023-01-13,70,83,70.0,68.0,70.0,73.0,50.0,61.0,75,52,exact_name,1.0
34639,Vitor Machado Ferreira,0.5393186301253735,0.5393186301253735,2,Paris Saint-Germain,255253,Vitinha,Vítor Machado Ferreira,"CM, CAM",Paris Saint Germain,Ligue 1,Portugal,23,9,2023-01-13,79,89,73.0,68.0,79.0,83.0,67.0,55.0,80,74,exact_name,1.0
132418,Bradley Locko,0.5391692160997789,0.5391692160997789,1,Stade de Reims,263908,B. Locko,Bradley Locko,"LB, LWB, LM",Reims,Ligue 1,France,23,9,2023-01-13,71,80,75.0,51.0,61.0,68.0,68.0,67.0,52,65,exact_name,1.0
5226,Mehdi Taremi,0.5390857195858834,0.5390857195858834,2,Iran,241788,M. Taremi,Mehdi Taremi,"ST, CF",Porto,Liga Portugal,Iran,23,9,2023-01-13,82,82,78.0,80.0,76.0,81.0,38.0,73.0,85,84,exact_name,1.0
3091,Moussa Sissoko,0.5374855295073406,0.5374855295073406,1,France,183394,M. Sissoko,Moussa Sissoko,"CDM, CM",Nantes,Ligue 1,France,23,9,2023-01-13,76,76,68.0,61.0,71.0,72.0,73.0,84.0,64,74,exact_name,1.0
41411,Nathan Tella,0.5350945239919693,0.5350945239919693,1,Bayer Leverkusen,237328,N. Tella,Nathan Tella,"LM, ST",Burnley,Championship,England,23,9,2023-01-13,72,79,86.0,67.0,62.0,75.0,31.0,55.0,63,62,exact_name,1.0
11990,Youssouf Fofana,0.5347798492000694,0.5347798492000694,2,France,245630,Y. Fofana,Youssouf Fofana,"CDM, CM",Monaco,Ligue 1,France,23,9,2023-01-13,80,84,71.0,67.0,74.0,77.0,76.0,78.0,77,79,exact_name,1.0
22740,Kang-In Lee,0.5345581562023792,0.5345581562023792,1,South Korea,243780,Lee Kang In,이강인 Kang In Lee,"LM, ST, CAM",Mallorca,La Liga,Korea Republic,23,9,2023-01-13,76,83,75.0,72.0,77.0,79.0,30.0,58.0,78,68,exact_name,1.0
3070,Florent Mollet,0.5334086933044753,0.5334086933044753,1,Nantes,209288,F. Mollet,Florent Mollet,"RM, CAM",Schalke 04,Bundesliga,France,23,9,2023-01-13,75,75,70.0,74.0,76.0,77.0,51.0,64.0,77,74,exact_name,1.0
45190,Dan Ndoye,0.532386138236937,0.532386138236937,2,Switzerland,257980,D. Ndoye,Dan Assane Ndoye,"RM, ST",Basel,Super League,Switzerland,23,9,2023-01-13,69,80,81.0,64.0,63.0,71.0,45.0,61.0,64,64,token_containment,0.94
29786,Elbasan Rashani,0.5309561360624303,0.5309561360624303,1,Clermont Foot,198731,E. Rashani,Elbasan Rashani,"LM, LW",Clermont,Ligue 1,Kosovo,23,9,2023-01-13,71,71,81.0,65.0,62.0,71.0,39.0,66.0,67,70,exact_name,1.0
5460,Andrej Kramarić,0.5304249028858464,0.5304249028858464,2,Croatia,216354,A. Kramarić,Andrej Kramarić,"CF, CAM",TSG Hoffenheim,Bundesliga,Croatia,23,9,2023-01-13,81,81,71.0,80.0,77.0,83.0,30.0,72.0,81,84,exact_name,1.0
